Problem,PopularityScore
2084-C,0.007274815736575094
2084-B,0.007274815736575094
2084-D,0.007179094476883316
2057-D,0.007179094476883316
2057-C,0.007179094476883316
2057-B,0.007179094476883316
2077-A,0.006891930697807983
2039-B,0.006796209438116206
2077-E,0.006700488178424428
2061-E,0.006700488178424428
2039-D,0.006700488178424428
1991-F,0.006700488178424428
2062-A,0.006604766918732651
2053-E,0.006604766918732651
2053-D,0.006604766918732651
2053-B,0.006604766918732651
2053-A,0.006604766918732651
2048-A,0.006604766918732651
1991-E,0.006604766918732651
1991-D,0.006604766918732651
1991-C,0.006604766918732651
1991-B,0.006604766918732651
1991-A,0.006604766918732651
2066-B,0.006509045659040874
2062-E1,0.006509045659040874
2062-B,0.006509045659040874
2048-C,0.006509045659040874
2048-B,0.006509045659040874
2062-D,0.006413324399349096
2048-D,0.006413324399349096
2035-B,0.006413324399349096
2018-A,0.006413324399349096
2066-A,0.0063176031396573185
2061-F1,0.0063176031396573185
2053-F,0.0063176031396573185
2018-C,0.0063176031396573185
2018-B,0.0063176031396573185
2084-F,0.006221881879965541
2048-E,0.006221881879965541
2018-D,0.006221881879965541
2035-E,0.006126160620273763
2035-D,0.006126160620273763
2006-A,0.006126160620273763
1984-C1,0.006126160620273763
1984-E,0.0060304393605819856
1984-C2,0.0060304393605819856
2029-F,0.005934718100890208
2029-D,0.005934718100890208
2029-C,0.005934718100890208
2029-A,0.005934718100890208
